"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12"
"guanidinoacetate",-0.002938,-0.021678,-0.030444,0.043971,0.0033043,0.0089793,0.0053846,0.0094065,-0.033754,0.040105,0.0020168,-0.012549
"5'- GMP",0.0057974,0.00071297,-0.005532,0.0066476,-0.0021617,-0.0046857,0.016779,0.0086499,-0.0014414,-0.0075704,-0.0011773,0.000447
"2'-deoxyguanosine",-0.010824,-0.0072733,-0.022089,-0.020501,-0.024808,-0.013299,0.0049436,0.0068542,0.018042,0.011044,-0.015054,0.0031714
"histamine",-0.018987,0.047849,0.036495,-0.022991,-0.029861,0.041228,-0.019588,0.050442,0.039492,0.026775,0.035187,0.0032739
"histidine",0.0030324,-0.0088545,-0.009819,0.0054651,0.0051457,0.0059938,-0.008513,0.0036414,0.017961,0.018953,-0.0025395,-0.0020689
"hypotaurine",0.010272,-0.0041953,0.015053,-0.01538,0.018173,-0.036358,-0.032001,-0.038178,0.046016,0.04046,0.034714,-0.0042538
"inosine",0.034357,-0.00944,-0.000483,-0.0091459,-0.0040299,-0.015318,0.0086772,0.0054644,0.0065835,0.01648,0.0010545,0.0046249
"inosine 5'-monophosphate (IMP)",0.035212,0.019691,0.011824,0.01261,-0.020353,0.012062,0.0077329,0.034591,0.0065971,0.0043691,-0.0013617,0.0099244
"myo-inositol",-0.012867,0.014545,-4.2793e-05,-0.016241,0.015151,-0.023691,-0.0039751,0.021775,0.013499,0.016719,-0.012064,0.00068981
"inositol 1-phosphate (I1P)",0.019666,0.015344,0.0089391,0.0053941,-0.010245,0.034099,-0.014614,-0.062529,-0.04092,0.023585,-0.075295,0.0061416
"isoleucine",0.0080985,-0.017281,-0.0047726,-0.0045924,0.014102,0.0022974,-0.00093661,-0.014579,0.0064392,0.00058429,0.025351,-0.0041097
"2-aminoadipate",-0.032291,0.026694,0.022491,-0.016838,-0.022504,0.02053,0.002421,-0.059697,0.035954,0.064093,0.053455,-0.010028
"citrulline",0.005337,0.0037558,0.005425,0.003599,-0.0068039,-0.0029172,0.0025471,0.026077,-0.0030893,0.006085,-0.010974,0.0044852
"leucine",0.01269,-0.016433,-0.0073844,-0.00039287,0.015299,0.01356,0.0059374,-0.023851,0.0045229,-0.0057811,0.018137,0.0033589
"lysine",-0.0018551,0.012702,-0.025304,0.012842,1.3072e-05,-0.00077241,0.031457,0.0030064,-0.029591,0.0066564,0.022512,-0.0046132
"malate",0.0060697,-0.0071246,0.00057979,-0.0097208,0.004955,-0.0065298,0.0057927,-0.016671,0.0030332,0.013815,0.022122,0.0009739
"methionine",0.016929,-0.00099185,-0.015549,0.014702,0.0041324,0.017359,0.018196,-0.005484,-0.01238,0.020043,0.0070806,-0.0081227
"palmitate (16:0)",0.030931,-0.029353,-0.019721,0.024811,0.012773,-0.006638,-0.004464,-0.02715,0.008634,-0.043727,0.0007746,-0.0012455
"NADH",-0.06402,-0.040403,-0.024939,-0.079401,-0.038306,-0.049765,-0.022191,-0.078772,-0.03685,-0.042528,0.014386,0.026798
"nicotinamide",0.0018623,-0.0034836,-0.0074203,-0.003423,-0.0020752,0.0064419,0.0020178,0.0052843,0.0089864,-0.017309,-0.0029437,0.0008754
"stearate (18:0)",0.041753,-0.045231,-0.050319,0.041749,0.030117,-0.0086143,-0.0028533,-0.023037,0.0059166,-0.036313,-0.010492,0.0085939
"oleoyl CoA",-0.061856,0.0014561,-0.0070046,-0.022576,0.048378,-0.0031098,-0.018058,0.045392,-0.0050334,-0.017616,0.047984,-0.0070382
"ornithine",-0.0016811,0.0010259,-0.030535,0.016873,0.01517,0.024699,0.0069278,0.0042938,-0.022183,0.0015126,-0.0099722,-0.0019974
"orotate",0.024377,-0.024803,0.01666,0.026933,0.0004348,0.011784,0.0026277,0.0052037,-0.016682,0.012402,0.0003016,0.0045826
"glutathione, oxidized (GSSG)",-0.0027049,-0.0037075,0.0023508,-0.0026819,0.00031086,-0.010445,0.0011439,0.0026874,-0.0067791,0.0031535,0.0042097,-7.9168e-05
"palmitoleate (16:1n7)",0.046396,-0.036408,-0.010984,0.018755,0.01288,-0.011045,0.0014325,-0.023806,0.03186,-0.059623,0.0026586,0.0014501
"phenylalanine",0.014112,-0.005809,-0.0094613,-0.0027854,0.0055386,0.0081175,0.0083754,-0.014686,0.013987,0.00028993,0.0067318,-0.0023677
"phosphate",0.00068549,-0.011996,-0.0035993,-0.0096098,-0.00044427,-0.0041313,0.011306,0.00029705,0.0010933,0.00092704,0.0043525,-0.00028702
"phosphoenolpyruvate (PEP)",-0.022561,0.075533,-0.0095351,0.0079101,0.0053929,-0.012587,-0.061829,-0.0042186,-0.0033324,-0.015471,0.0875,0.00040154
"phytosphingosine",0.018164,-0.0043033,-0.0074659,0.0024459,-0.0094397,0.00071753,0.014479,0.024379,-0.024495,0.043046,-0.021537,0.0039039
"proline",0.015124,-0.018816,-0.023616,0.023109,0.013652,0.0036857,0.0040962,-9.5231e-05,-0.015559,0.030585,0.0086135,0.0032358
"lactate",0.0066757,0.0016593,-0.01428,0.014542,-0.018011,-0.011527,0.0064765,-0.021296,-0.0038067,0.0022902,-0.0030859,-0.0002448
"pyridoxal",0.028277,-0.0053287,-0.020182,-0.0026268,-0.004098,-0.00040235,-0.00094978,0.0087946,0.030949,-0.024719,-0.016712,0.0017813
"pyridoxal phosphate",0.00040589,-0.0052561,-0.0048974,-0.030389,-0.017411,-0.0034741,0.0045331,0.023777,0.048669,0.0056608,-0.0017096,0.0048241
"pyridoxamine phosphate",-0.0054084,-0.005019,-0.0074278,-0.014791,0.0015777,0.00061391,0.0084805,0.0031128,0.0061828,-0.011703,-0.0035139,-0.0024735
"glutathione, reduced (GSH)",-0.019924,0.012435,-0.027936,-0.0095503,-0.032423,-0.0028256,0.0042195,-0.010131,0.03026,0.024492,0.039297,-0.00093442
"retinol (vitamin A)",0.023828,-0.014137,0.035995,0.010339,-0.029354,0.065251,-0.040081,-0.048863,0.084194,0.03952,-0.030697,0.0013212
"riboflavin (vitamin B2)",0.010063,-0.01831,0.0052929,-0.018654,0.015211,-0.0363,0.0053925,-0.0033057,0.0048269,-0.0019785,0.011654,0.00065669
"salicylate",0.038567,-0.027971,0.0062263,-0.050775,-0.02317,0.014962,0.051123,0.0028374,0.039617,0.05411,0.016912,0.02863
"serine",0.021552,0.011017,-0.0085242,0.0015874,-0.031912,-0.010808,0.015746,0.014496,-0.025363,0.02492,0.031941,0.0024593
"serotonin",-0.0033795,-0.026372,0.035347,0.085101,-0.077344,-0.0084677,-0.0037277,-0.030358,-0.041371,0.068568,-0.11781,0.0051848
"spermine",0.020787,0.013931,-0.0086153,-0.00039934,-0.010624,0.0011478,-0.010415,-0.012658,0.0041293,-0.0085089,0.032162,-0.0072302
"taurine",0.00089737,-0.0006066,0.00038903,-0.0014332,-0.0033993,-0.00071626,-0.0035121,-0.0048277,0.001786,-0.00088417,0.0033454,0.00016465
"myristate (14:0)",0.038226,-0.038403,-0.029595,0.028163,0.022285,-0.0028882,0.019045,-0.019723,0.032274,-0.052317,-0.013125,0.00097278
"thiamin diphosphate",-0.017695,0.0096632,-0.0073421,0.0013252,-0.017386,0.013827,-0.010323,0.016494,0.038638,0.025388,0.016307,-0.0035982
"thiamin monophosphate",0.024238,-0.0074698,0.0034633,-0.0044801,-0.0038355,-0.0055445,0.030026,0.003466,0.02579,0.0086868,0.0051191,0.0015816
"urea",-0.0007777,0.0083289,0.0086765,0.016084,0.013181,0.0098218,-0.00036661,0.016205,0.018416,0.0023312,0.014626,0.0015831
"uridine",0.0020802,0.0058267,-0.0059697,-0.0010521,-0.0070603,0.0043167,-0.0037059,0.012029,0.01224,0.0008623,0.015106,-0.00016967
"2'-deoxyuridine",-0.0506,-0.012866,-0.047124,0.013136,-0.017405,-0.02731,0.021766,-0.060094,-0.028066,0.041107,-0.026416,-0.012517
"trans-urocanate",-0.012671,0.0030355,-0.031805,-0.019694,0.0029352,0.024303,0.068886,0.088866,0.080631,0.09009,-0.027622,0.0030692
"glutamate",-0.0080642,0.0019694,-0.016399,-0.0010225,0.0070576,-0.010792,-0.002171,-0.011624,-0.0042307,-0.004116,0.0012291,0.0055324
"glutamine",0.0034178,-0.0029628,0.0013497,-0.014333,-0.0053788,-0.0070849,0.010541,-0.010944,0.023741,-0.0032251,-0.014611,0.0013455
"threonine",0.0035851,0.0027144,-0.014167,0.0032761,0.0029876,0.0011534,0.0068217,-0.0036879,-0.0014014,0.021988,0.022441,-0.0021218
"tryptophan",-0.00046756,-0.0089264,-0.029458,0.01419,-0.0006631,0.013452,0.02242,-0.024555,0.0043658,0.022605,0.02369,-0.0043224
"valine",0.0039557,-0.019819,-0.011529,0.0019175,0.01376,-0.0046246,-0.004564,-0.012825,-0.0029778,0.0009437,0.023256,0.00022857
"nicotinate",0.00091867,0.0062609,-0.0062882,0.0072484,-0.004615,0.002698,-0.00077113,0.0072444,-0.0018345,-0.019281,-0.010976,0.0010447
"pyridoxamine",-0.011273,-0.0048625,-0.014567,-0.034209,0.0035342,0.0054175,-0.011868,0.016892,0.0079248,-0.012561,0.0076036,0.00040099
"glucose",0.059433,0.069581,-0.016399,0.056677,-0.023237,-0.0031569,-0.068075,0.0080491,-0.033107,-0.0087868,-0.040038,0.0071223
"adenosine",-0.096694,-0.017218,-0.019821,-0.0046968,-0.020978,0.0053432,-0.019894,-0.038675,0.002908,-0.012707,-0.04114,-0.0033894
"betaine",0.0095209,0.0088591,-0.030609,-0.014177,-0.027364,-0.0099877,0.017419,0.029552,-0.0023097,0.012527,0.0019976,-0.00038774
"cysteine",0.012662,-0.01791,0.0027013,-0.0089408,0.0071307,-0.0062974,0.0030494,0.020143,-0.01323,0.031238,0.0099363,0.0023243
"mannose",0.077718,0.106,-0.036011,0.029132,-0.013394,-0.0035593,-0.055547,0.0024233,0.0029468,-0.018725,0.0068944,0.012784
"dimethylglycine",0.0022385,-0.0093957,-0.0062844,-0.018155,-0.0014744,-0.0048098,0.011716,0.014893,0.0084133,-0.0031444,-0.016615,-0.00028954
"alanine",-0.0045166,-0.0088345,-0.014026,0.0021399,-0.012712,0.0031379,-0.015492,-0.0061009,0.0050896,0.009825,0.022255,0.00058452
"tyrosine",0.024847,-0.015982,-0.030061,0.01697,-0.00036202,0.007682,0.033625,-0.011422,-0.012187,0.027321,-0.012042,-0.002727
"malonate",-0.0017477,7.0992e-05,0.011984,-0.014576,-0.0028403,0.0021538,0.0039131,0.0030894,-0.013627,-0.02327,-0.011448,-0.0045789
"pseudouridine",0.015899,0.0068431,0.037681,-0.0035281,0.0042644,-0.012024,0.032202,0.043402,-0.019901,-0.022848,0.0038091,0.0027843
"pyruvate",-0.007142,-0.026019,-0.031808,0.018603,-0.0072325,0.024067,-0.037825,-0.045135,0.016702,0.042786,0.028278,0.0022677
"uracil",0.05187,-0.039239,0.0050579,0.0011001,-0.0043308,-0.032428,0.019516,0.015521,-0.023607,0.024147,0.038065,0.0040291
"cytidine",0.016648,0.0068358,-0.00071784,-0.0089823,-0.0031399,-0.0063136,-0.0074206,0.0056261,0.00044415,-0.0069171,0.020948,0.00014314
"UMP",-0.0044676,0.027828,0.0077495,0.033735,-0.0054929,0.011911,0.013176,0.015664,-0.025739,0.0042941,-0.0046269,0.0022183
"uridine 5'-diphosphate (UDP)",-0.033291,0.047609,0.012222,0.01807,0.025613,-0.021596,-0.009823,-0.00081937,-0.0095467,-0.023726,0.061431,-0.0053281
"thymidine",-0.0079509,-0.0085062,-0.028859,-0.014994,-0.034175,-0.027595,0.0058534,-0.030587,-0.024905,0.043444,-0.034919,-0.0020759
"thiamin (vitamin B1)",0.072247,-0.012105,-0.01993,-0.014465,-0.0018448,-0.030882,0.018996,0.0087039,0.021932,-0.010418,-0.0031883,-0.0024833
"fructose",0.073849,0.10292,-0.045874,0.034007,-0.049538,-0.0069797,-0.0050954,-0.026392,0.0097516,-0.015265,-0.011082,0.013324
"adenine",-0.0094819,-0.02138,-0.0038482,-0.017778,-0.0063202,-0.014084,0.0049212,-0.024502,0.0032824,0.0057161,-0.012159,0.0017996
"cytosine",0.0076446,0.0065172,-0.0023041,0.047265,0.035205,-0.011159,0.046485,-0.035515,-0.010643,-0.011299,-0.074966,-0.0094354
"thymine",-0.022931,0.019753,-0.011073,-0.0032891,0.02584,-0.006382,0.091113,0.039671,0.021036,0.042673,-0.049286,-0.0087771
"caprate (10:0)",0.013406,-0.02152,0.0083624,-0.03189,0.00062226,0.021822,0.046132,0.014207,0.027234,0.025432,0.028596,-0.0013531
"margarate (17:0)",0.043006,-0.042453,-0.042079,0.041247,0.017684,-0.0034373,0.0039148,-0.026941,0.010292,-0.043577,-0.0026946,0.0024826
"nonadecanoate (19:0)",0.046851,-0.043996,-0.058106,0.054902,0.012528,0.0036548,-0.022567,0.00028671,0.02566,0.008524,0.020652,-0.006629
"arachidate (20:0)",0.042504,-0.033416,-0.058398,0.04422,0.014165,-0.00019755,-0.0062128,-0.02746,0.0043714,-0.0070195,0.023659,-0.0082419
"maltose",0.044341,0.11393,-0.019413,0.049021,-0.042305,0.023947,-0.025484,-0.053306,0.018019,-0.0075984,0.062494,-0.00068991
"ribose",0.077358,-0.016457,-0.013504,-0.019561,0.010767,-0.034688,-0.010908,0.018469,0.0099928,-0.0052846,0.020095,0.006377
"asparagine",0.012131,-0.00010631,-0.0013817,0.0032898,0.0098393,-0.00028416,0.027002,-0.0029964,-0.027396,0.013856,0.011449,-0.00075051
"sucrose",0.0015982,-0.00085357,-0.074281,-0.082162,-0.074809,0.035626,-0.0077147,-0.0021129,0.12569,0.18235,-0.061634,0.0039242
"pentadecanoate (15:0)",0.02962,-0.021258,-0.014976,0.026696,0.0048727,-0.0025298,-0.007313,-0.028573,0.014544,-0.026838,-0.0041617,-0.00128
"hydroxyproline",0.022285,-0.017541,0.017487,0.034195,-0.0016766,0.010779,0.015669,0.0094414,-0.030597,-0.0095991,-0.016946,0.013817
"allantoin",0.013038,0.0093507,0.035865,-0.0049899,0.010192,-0.0023419,0.013138,0.027033,-0.0062302,-0.00076034,0.0067468,-0.0028268
"galactitol (dulcitol)",-0.0092886,0.0013631,-0.0017757,0.037622,0.0030367,-0.019738,-0.02161,0.0018972,-0.032895,-0.014133,0.027167,0.0010549
"xanthine",0.038467,-0.011624,-0.0097342,-0.0054324,-0.02676,-0.012562,-0.005378,-0.012879,0.023901,0.026674,0.02585,-0.0027736
"5-oxoproline",0.0072781,-0.019619,-0.007059,-0.020008,-0.0055652,-0.0033072,0.0081474,0.021298,0.048684,0.025828,-0.013387,-0.0006368
"pantothenate (Vitamin B5)",-0.0086093,0.011536,-0.022517,-0.023971,-0.022484,-0.002886,0.0045236,0.019461,-0.0042184,0.0095282,0.0055099,0.0036068
"pipecolate",0.033549,-0.031203,0.059398,0.058991,0.011681,0.035917,-0.038807,0.039584,-0.0097957,0.01207,-0.037398,0.006166
"phosphoethanolamine (PE)",-0.0080445,-0.0040548,0.00060822,-0.0026207,-0.0031752,-0.0047307,-0.0085229,0.014497,0.00033104,0.0062622,-0.0038816,0.0028981
"glycerate",0.0055945,0.0045874,-0.0095384,0.0065979,-0.0022929,-0.011791,-0.018981,-0.0037538,-0.0013841,-0.0028069,0.0086924,0.00065254
"3-ureidopropionate",-0.013138,-0.0085537,-0.021816,-0.067328,-0.015341,-0.059665,0.036044,-0.035946,-0.016565,-0.014692,0.0040207,0.0010206
"N-acetylleucine",-0.012819,-0.0028336,-0.041125,0.02622,0.030415,0.060034,0.036548,-0.047645,-0.00071707,0.012809,-0.018125,0.002632
"N-acetylmethionine",0.050602,-0.012546,0.011864,-0.0030151,-0.005773,-0.016833,0.01536,-0.0043101,0.0069811,0.016732,-0.0012556,0.011946
"erucate (22:1n9)",0.057657,-0.02845,-0.069277,0.056055,0.012981,-0.0064136,0.0074105,-0.034593,-0.014222,0.023298,0.0082516,-0.0026317
"UDP-glucose",-0.044651,-0.0507,0.026997,-0.034392,0.01928,-0.019773,0.026451,0.023262,-0.056599,-0.029746,-0.0030219,0.0042801
"UDP-glucuronate",-0.0055414,0.0043494,-0.0094421,0.0082197,0.0038774,0.0029141,0.0011102,0.015616,-0.0073298,0.0037381,0.0042456,0.0029973
"guanosine",0.0015195,-0.0102,-0.010146,-0.019744,-0.013092,-0.010301,-0.011627,0.0036599,0.017732,0.016092,0.0092099,0.00042468
"alpha-tocopherol",-0.00042473,-0.013397,-0.016822,-0.0013658,-0.0042073,0.010863,0.018453,0.011352,-0.0051521,0.00025619,-0.032516,-0.0017562
"N-carbamoylaspartate",-0.0034175,-0.0021534,-0.014136,0.034895,-0.00065222,0.02025,-0.012551,0.038461,0.015994,0.014121,0.031071,-0.0054962
"N-acetylalanine",0.023071,-0.0055447,-0.0064375,-0.016413,-0.0028052,0.00333,0.0034685,0.0077859,-0.0053066,-0.0012508,-0.0011666,0.00029033
"3-aminoisobutyrate",-0.0012964,-0.0060203,0.031352,-0.010122,0.01773,0.0085785,0.0011407,-0.018718,0.018776,-0.011854,0.0039158,-0.0033388
"citrate",0.058008,-0.0033907,0.0044026,-0.032271,0.013551,-0.031007,0.020679,-0.020117,-0.010762,0.037917,-0.032406,0.0027941
