"","FC","log2(FC)","raw.pval","-log10(p)"
"1-linoleoyl-2-linolenoyl-GPC (18:2/18:3)*",0.21918,-2.1898,0.29868,1.9864
"4-hydroxyglutamate",8.2481,3.0441,0.76477,1.9659
"3-hydroxy-2-ethylpropionate",0.14181,-2.8179,2.7709e-05,1.9436
"stearoylcarnitine (C18)",0.12086,-3.0486,0.69895,1.9301
"glutarate (C5-DC)",8.8395,3.144,0.63065,1.9272
"X-26107",8.8395,3.144,0.61902,1.9272
"1-palmityl-GPE (O-16:0)*",1.2895e-05,-16.243,0.41473,1.9196
"S-methylglutathione",6.7422,2.7532,0.20035,1.901
"ophthalmate",0.15186,-2.7192,0.077596,1.8642
"butyrate/isobutyrate (4:0)",0.19528,-2.3564,0.21899,1.8565
"CDP-choline",692780,19.402,0.24199,1.8385
"ribonate",207170,17.66,0.15991,1.8178
"2-myristoyl-GPC (14:0)*",6.1842,2.6286,0.82744,1.8061
"methylphosphate",6.2106,2.6347,0.051919,1.7825
"lactate",0.062428,-4.0017,0.6545,1.7704
"2-palmitoyl-GPC (16:0)*",4.448,2.1532,0.10049,1.7274
"anserine",1.2539e-05,-16.283,9.782e-05,1.7229
"ethylmalonate",0.19362,-2.3687,0.49296,1.7154
"1-palmityl-GPC (O-16:0)",4.8502,2.278,0.18673,1.6766
"methyl glucopyranoside (alpha + beta)",0.00070091,-10.478,0.71963,1.6516
"4-imidazoleacetate",0.10522,-3.2485,0.00025477,1.6509
"creatine phosphate",15.751,3.9774,0.93437,1.6453
"13-HODE + 9-HODE",0.17297,-2.5314,0.49512,1.6367
"hippurate",4.1487,2.0527,0.75923,1.6158
"biopterin",8029.5,12.971,0.66477,1.5984
"phytosphingosine",34198,15.062,0.47532,1.5792
"1-adrenoyl-GPC (22:4)*",0.34744,-1.5252,0.48856,1.5763
"palmitoylcholine",0.31359,-1.673,0.074526,1.5451
"N,N,N-trimethyl-5-aminovalerate",214380,17.71,0.031837,1.5338
"acetylcholine",0.13551,-2.8835,0.50214,1.5276
"myristate (14:0)",34.3,5.1001,0.29238,1.5142
"1-arachidonoyl-GPE (20:4n6)*",4.4498,2.1537,0.11862,1.5025
"1-stearoyl-2-dihomo-linolenoyl-GPS (18:0/20:3n3 or 6)*",0.095845,-3.3831,0.21675,1.4992
"1-pentadecanoyl-2-linoleoyl-GPC (15:0/18:2)*",2.0518,1.0369,0.75305,1.4871
"sphingomyelin (d18:1/24:1, d18:2/24:0)*",0.025381,-5.3001,0.0080165,1.4716
"2-hydroxyadipate",0.11873,-3.0743,0.81177,1.4666
"UDP-galactose",5.9164,2.5647,0.77844,1.4314
"linoleoyl ethanolamide",0.3069,-1.7042,0.95675,1.4283
"1,2-distearoyl-GPC (18:0/18:0)",0.020567,-5.6035,0.53396,1.4249
"behenoyl sphingomyelin (d18:1/22:0)*",4.9413,2.3049,0.012087,1.4207
"dihomo-linoleoylcarnitine (C20:2)*",21.748,4.4428,0.91008,1.4014
"phenylalanylalanine",4.8363e-06,-17.658,0.62969,1.3897
"2-aminoheptanoate",5.1852e-05,-14.235,0.18441,1.3839
"1-palmitoyl-GPC (16:0)",0.086304,-3.5344,0.083665,1.3772
"ethyl beta-glucopyranoside",5.4015,2.4334,0.63745,1.3611
"ceramide (d18:1/20:0, d16:1/22:0, d20:1/18:0)*",4.0932,2.0332,0.45804,1.3546
"3-hydroxybutyrate (BHBA)",6.7648,2.7581,0.28495,1.3537
"X-12100",6.7648,2.7581,0.057709,1.3537
"tetradecanedioate (C14)",0.15024,-2.7347,0.48497,1.3535
"1,2-dilinolenoyl-GPC (18:3/18:3)*",1.7158e-06,-19.153,0.33803,1.349
"maltotriose",3.4028,1.7667,0.44999,1.3469
"butyryl/isobutyryl CoA",0.038732,-4.6903,0.199,1.3347
"adrenate (22:4n6)",0.20535,-2.2838,0.097837,1.3274
"2S,3R-dihydroxybutyrate",4.5893,2.1983,0.00029504,1.3162
